# timestamp tx ty tz qx qy qz qw
1403715278.812143087 0.033681 0.071832 0.005721 -0.560307 0.585721 -0.432385 0.395008
1403715278.962142944 0.051129 0.076971 0.043285 -0.557754 0.583837 -0.434605 0.398953
1403715279.112143040 0.066314 0.081416 0.057486 -0.558312 0.583116 -0.435838 0.397880
1403715279.262142897 0.079221 0.085314 0.037521 -0.560395 0.582911 -0.435585 0.395523
1403715279.412142992 0.090610 0.089982 0.021382 -0.560919 0.584945 -0.432675 0.394970
1403715279.562143087 0.100828 0.093837 0.019951 -0.561796 0.585540 -0.431468 0.394161
1403715279.712143183 0.110289 0.096885 0.031516 -0.562254 0.585966 -0.430933 0.393461
1403715279.862143040 0.118559 0.098429 0.053405 -0.562377 0.586793 -0.429921 0.393159
1403715280.012143135 0.125367 0.098387 0.081504 -0.566184 0.590819 -0.424695 0.387303
1403715280.162142992 0.133818 0.097924 0.110002 -0.576002 0.595559 -0.417641 0.372971
1403715280.312143087 0.152396 0.095128 0.145266 -0.580989 0.589450 -0.425596 0.365879
1403715280.462142944 0.178679 0.098245 0.183961 -0.576908 0.587740 -0.433172 0.366198
1403715280.612143040 0.212070 0.105599 0.221927 -0.557726 0.601347 -0.436733 0.369578
1403715280.762142897 0.248670 0.111602 0.254206 -0.533660 0.620126 -0.447712 0.360839
1403715280.912142992 0.287139 0.117116 0.279157 -0.508923 0.639776 -0.460238 0.346215
1403715281.062143087 0.324541 0.124998 0.301623 -0.491421 0.652883 -0.469503 0.334388
1403715281.212143183 0.360568 0.135291 0.320592 -0.480317 0.660495 -0.475923 0.326403
1403715281.362143040 0.395269 0.143770 0.332307 -0.468357 0.670712 -0.480063 0.316742
1403715281.512143135 0.430233 0.148715 0.337240 -0.451162 0.683329 -0.488084 0.302139
1403715281.662142992 0.465675 0.149367 0.336609 -0.425574 0.699691 -0.499539 0.282454
1403715281.812143087 0.502538 0.148330 0.332032 -0.394001 0.718751 -0.510928 0.259063
1403715281.962142944 0.541279 0.146909 0.323575 -0.359809 0.736417 -0.522464 0.235073
1403715282.112143040 0.583075 0.144215 0.309951 -0.326904 0.751504 -0.532469 0.211784
1403715282.262142897 0.628077 0.139769 0.293484 -0.295802 0.764269 -0.540880 0.189322
1403715282.412142992 0.676923 0.133625 0.275996 -0.266250 0.775787 -0.547814 0.164821
1403715282.562143087 0.729878 0.126442 0.257487 -0.234978 0.785455 -0.554470 0.142861
1403715282.712143183 0.785940 0.119198 0.239165 -0.203249 0.791065 -0.563388 0.124495
1403715282.862143040 0.842109 0.112315 0.219052 -0.171088 0.797037 -0.568924 0.108563
1403715283.012143135 0.896578 0.105404 0.198205 -0.140103 0.800946 -0.575146 0.089801
1403715283.162142992 0.949530 0.099707 0.178244 -0.106480 0.804416 -0.579579 0.075272
1403715283.312143087 0.997917 0.096318 0.158878 -0.074491 0.806695 -0.583130 0.060437
1403715283.462142944 1.039173 0.095513 0.139201 -0.047532 0.810275 -0.582556 0.042704
1403715283.612143040 1.073036 0.097484 0.120183 -0.027239 0.815734 -0.577409 0.020886
1403715283.762142897 1.104616 0.099609 0.103788 -0.014640 0.818200 -0.574696 0.007601
1403715283.912142992 1.136062 0.100111 0.089950 -0.006858 0.816012 -0.577984 0.003325
1403715284.062143087 1.166999 0.099641 0.074550 -0.004299 0.817975 -0.575232 0.002514
1403715284.212143183 1.196791 0.098241 0.060417 -0.001968 0.821612 -0.569967 0.009353
1403715284.362143040 1.221272 0.092070 0.050094 0.001045 0.822715 -0.568063 0.021047
1403715284.512143135 1.236435 0.077896 0.041016 -0.009281 0.820725 -0.571047 0.015155
1403715284.662142992 1.247250 0.057026 0.032815 -0.020780 0.817391 -0.575635 0.009159
1403715284.812143087 1.257157 0.033667 0.025907 -0.025509 0.814932 -0.578971 0.005247
1403715284.962142944 1.267164 0.008611 0.022316 -0.011231 0.809957 -0.586381 -0.000304
1403715285.112143040 1.275359 -0.014769 0.022856 0.018334 0.803450 -0.594979 -0.011520
1403715285.262142897 1.281189 -0.029487 0.027295 0.048736 0.806345 -0.588797 -0.027406
1403715285.412142992 1.286338 -0.036629 0.049822 0.072074 0.814567 -0.574634 -0.032883
1403715285.562143087 1.286316 -0.044136 0.101112 0.084037 0.818804 -0.566791 -0.035291
1403715285.712143183 1.278184 -0.055752 0.159493 0.090862 0.819469 -0.564739 -0.035828
1403715285.862143040 1.259734 -0.072843 0.214128 0.089504 0.818292 -0.566089 -0.043940
1403715286.012143135 1.231472 -0.091901 0.260622 0.080767 0.819898 -0.563789 -0.058189
1403715286.162142992 1.203785 -0.115664 0.301435 0.079166 0.820889 -0.562119 -0.062419
1403715286.312143087 1.176692 -0.144217 0.337553 0.081883 0.821778 -0.560718 -0.059761
1403715286.462142944 1.146842 -0.177765 0.368010 0.079268 0.820779 -0.562110 -0.063794
1403715286.612143040 1.117637 -0.218387 0.394585 0.079618 0.818369 -0.565073 -0.068010
1403715286.762142897 1.089095 -0.262908 0.419437 0.091882 0.809821 -0.574244 -0.077399
1403715286.912142992 1.062872 -0.303541 0.435934 0.105912 0.812663 -0.566071 -0.089021
1403715287.062143087 1.041227 -0.343640 0.453214 0.115371 0.815031 -0.559198 -0.098544
1403715287.212143183 1.025412 -0.387320 0.473773 0.120359 0.810196 -0.563708 -0.106441
1403715287.362143040 1.016221 -0.433499 0.495534 0.124572 0.804184 -0.570842 -0.109127
1403715287.512143135 1.013809 -0.478105 0.518034 0.134183 0.802252 -0.572693 -0.102027
1403715287.662142992 1.010592 -0.518061 0.542291 0.156316 0.799973 -0.570461 -0.100906
1403715287.812143087 0.998558 -0.552212 0.568515 0.182210 0.794423 -0.567781 -0.115397
1403715287.962142944 0.976496 -0.582919 0.596504 0.209432 0.784439 -0.565925 -0.143257
1403715288.112143040 0.949710 -0.608957 0.621685 0.240373 0.772834 -0.562351 -0.169442
1403715288.262142897 0.924336 -0.629643 0.629974 0.261768 0.766903 -0.555818 -0.185484
1403715288.412142992 0.900259 -0.647417 0.609073 0.272660 0.764307 -0.551080 -0.194426
1403715288.562143087 0.876620 -0.663131 0.590915 0.278209 0.762791 -0.550155 -0.195138
1403715288.712143183 0.850165 -0.677332 0.603334 0.279602 0.762734 -0.550230 -0.193150
1403715288.862143040 0.821137 -0.687952 0.619924 0.274722 0.766015 -0.546215 -0.198489
1403715289.012143135 0.789508 -0.696686 0.610442 0.277400 0.766509 -0.540399 -0.208525
1403715289.162142992 0.760002 -0.700146 0.580089 0.288654 0.764312 -0.533337 -0.219222
1403715289.312143087 0.735582 -0.704007 0.545936 0.299304 0.761154 -0.526999 -0.230940
1403715289.462142944 0.716058 -0.707994 0.508096 0.317662 0.755195 -0.519152 -0.243419
1403715289.612143040 0.697953 -0.715314 0.459794 0.340571 0.747904 -0.509511 -0.255049
1403715289.762142897 0.679058 -0.728717 0.405042 0.356360 0.743516 -0.501692 -0.261718
1403715289.912142992 0.660080 -0.751044 0.365283 0.361604 0.740311 -0.502525 -0.262012
1403715290.062143087 0.643055 -0.780359 0.350904 0.358855 0.742278 -0.503496 -0.258338
1403715290.212143183 0.625239 -0.815317 0.363337 0.349026 0.746539 -0.505540 -0.255517
1403715290.362143040 0.605361 -0.856923 0.390610 0.344090 0.753798 -0.502516 -0.246714
1403715290.512143135 0.583248 -0.906942 0.412264 0.344578 0.756963 -0.502096 -0.237007
1403715290.662142992 0.554461 -0.965528 0.425818 0.344090 0.753027 -0.508630 -0.236323
1403715290.812143087 0.521278 -1.028113 0.433790 0.342596 0.746944 -0.515830 -0.242121
1403715290.962142944 0.489479 -1.092267 0.438377 0.348315 0.743137 -0.518366 -0.240253
1403715291.112143040 0.457962 -1.156622 0.442612 0.361387 0.734194 -0.524946 -0.234075
1403715291.262142897 0.420889 -1.214440 0.443338 0.374774 0.725677 -0.528337 -0.231942
1403715291.412142992 0.378768 -1.259888 0.436776 0.385900 0.720263 -0.525340 -0.237318
1403715291.562143087 0.331052 -1.293288 0.423385 0.397425 0.718710 -0.515466 -0.244550
1403715291.712143183 0.275612 -1.316777 0.409244 0.410791 0.715040 -0.508386 -0.248018
1403715291.862143040 0.209635 -1.333223 0.393205 0.409708 0.716684 -0.498277 -0.264997
1403715292.012143135 0.137754 -1.346620 0.372457 0.405909 0.719986 -0.489090 -0.278656
1403715292.162142992 0.065262 -1.364170 0.351790 0.401404 0.723501 -0.487992 -0.278003
1403715292.312143087 -0.006452 -1.387604 0.331102 0.383585 0.734253 -0.491670 -0.268319
1403715292.462142944 -0.077907 -1.418244 0.310883 0.354669 0.749964 -0.497358 -0.253770
1403715292.612143040 -0.151829 -1.457922 0.296291 0.317516 0.759385 -0.516554 -0.235986
1403715292.762142897 -0.221746 -1.502770 0.287709 0.270207 0.765199 -0.540540 -0.221981
1403715292.912142992 -0.278094 -1.548906 0.294605 0.229771 0.777959 -0.550408 -0.197576
1403715293.062143087 -0.319467 -1.595453 0.329347 0.202081 0.788448 -0.558098 -0.161368
1403715293.212143183 -0.353600 -1.641053 0.378271 0.175076 0.795223 -0.565690 -0.130242
1403715293.362143040 -0.387545 -1.685987 0.426805 0.145436 0.797184 -0.575974 -0.107703
1403715293.512143135 -0.422210 -1.725932 0.474364 0.118206 0.796870 -0.585946 -0.087705
1403715293.662142992 -0.456592 -1.756606 0.520549 0.094764 0.804684 -0.582026 -0.068917
